date	close
1514129742.82	18.93
1514129749.28	18.91
1514129755.73	18.90
1514129762.19	18.99
1514130153.11	18.89
1514130190.61	18.88
1514130204.9	18.94
1514130211.35	18.90
1514130217.81	18.93
1514130224.27	18.92
1514130230.72	18.89
1514130237.18	18.87
1514130243.64	18.81
1514130250.1	18.90
1514130256.55	18.84
1514130263.01	18.92
1514130269.47	18.93
1514130276.46	18.85
1514130283.67	18.87
1514130367.61	18.91
1514130428.31	18.86
1514130489.0	18.86
1514130549.69	18.88
1514130610.38	18.92
1514130671.07	18.92
1514130731.77	18.90
1514130792.46	18.84
1514130853.15	18.87
1514130913.85	18.89
1514130974.54	18.94
1514131035.23	18.94
1514131095.92	18.97
1514131156.62	18.93
1514131217.31	18.85
1514131277.99	18.90
1514131338.69	18.92
1514131399.38	18.91
1514131460.07	18.97
1514131520.76	18.90
1514131581.45	18.95
1514131642.14	18.92
1514131702.83	18.97
1514131763.52	18.90
1514131824.21	18.95
1514131884.9	18.91
1514131945.59	18.93
1514132006.28	18.96
1514132066.97	18.97
1514132127.66	18.96
1514132188.35	18.93
1514132249.04	18.92
1514132276.25	18.93
1514132336.94	18.97
1514132397.63	18.99
1514132458.32	18.96
1514132519.02	18.94
1514132579.7	18.90
1514132640.39	18.98
1514132701.09	18.94
1514132761.78	18.95
1514132822.47	18.95
1514132883.16	18.98
1514132943.84	18.97
1514133004.53	19.03
1514133065.23	19.00
1514133125.93	18.96
1514133186.61	19.02
1514133247.31	18.98
1514133308.0	19.03
1514133368.69	18.95
1514133429.38	18.97
1514133490.07	19.01
1514133550.77	18.96
1514133611.46	19.00
1514133672.15	18.98
1514133732.84	19.07
1514133793.54	18.99
1514133854.23	18.96
1514133914.93	18.95
1514133975.63	19.01
1514134036.33	18.97
1514134097.03	18.99
1514134157.72	19.05
1514134218.41	18.99
1514134279.11	19.00
1514134339.8	18.98
1514134400.49	18.93
1514134461.18	19.01
1514134521.88	18.96
1514134582.57	19.02
